Plot,Herbivory,Row,Column,Label,Timepoint
A4,2x2,188,215,Available Substrate,T0
A4,2x2,188,1511,Available Substrate,T0
A4,2x2,188,2807,Available Substrate,T0
A4,2x2,188,4103,Available Substrate,T0
A4,2x2,188,5399,No dominance,T0
A4,2x2,1324,215,No dominance,T0
A4,2x2,1324,1511,Available Substrate,T0
A4,2x2,1324,2807,Available Substrate,T0
A4,2x2,1324,4103,Available Substrate,T0
A4,2x2,1324,5399,Available Substrate,T0
A4,2x2,2460,215,No dominance,T0
A4,2x2,2460,1511,Available Substrate,T0
A4,2x2,2460,2807,Available Substrate,T0
A4,2x2,2460,4103,Available Substrate,T0
A4,2x2,2460,5399,Available Substrate,T0
A4,2x2,3596,215,Available Substrate,T0
A4,2x2,3596,1511,Available Substrate,T0
A4,2x2,3596,2807,Available Substrate,T0
A4,2x2,3596,4103,No dominance,T0
A4,2x2,3596,5399,Other,T0
A4,2x2,4732,215,Other,T0
A4,2x2,4732,1511,Other,T0
A4,2x2,4732,2807,Other,T0
A4,2x2,4732,4103,Other,T0
A4,2x2,4732,5399,No dominance,T0